name,code
中电环保,|300172
中材科技,|002080
依顿电子,|603328
大立科技,|002214
宜宾纸业,|600793
威帝股份,|603023
天夏智慧,|000662
晶盛机电,|300316
鲁北化工,|600727
天赐材料,|002709
五洋科技,|300420
哈高科,|600095
江苏舜天,|600287
太安堂,|002433
东旭蓝天,|000040
宝泰隆,|601011
华钰矿业,|601020
天马精化,|002453
金花股份,|600080
中体产业,|600158
华仪电气,|600290
上海医药,|601607
国电南自,|600268
*ST吉恩,|600432
劲胜精密,|300083
大港股份,|002077
宏图高科,|600122
沧州明珠,|002108
洛阳钼业,|603993
天康生物,|002100
西泵股份,|002536
东华能源,|002221
阳谷华泰,|300121
西部创业,|000557
星宇股份,|601799
香梨股份,|600506
大连重工,|002204
中远海发,|601866
中水渔业,|000798
西部牧业,|300106
三维工程,|002469
中新科技,|603996
乐视网,|300104
杭氧股份,|002430
*ST宇顺,|002289
晨光生物,|300138
浙江仙通,|603239
振芯科技,|300101
迪威视讯,|300167
东睦股份,|600114
三毛派神,|000779
仙琚制药,|002332
金陵饭店,|601007
联建光电,|300269
华媒控股,|000607
万润科技,|002654
华塑控股,|000509
雷鸣科化,|600985
理工环科,|002322
森马服饰,|002563
永安林业,|000663
林洋能源,|601222
中房地产,|000736
恒源煤电,|600971
晶方科技,|603005
金龙机电,|300032
北特科技,|603009
中原环保,|000544
明星电缆,|603333
方正电机,|002196
海思科,|002653
普路通,|002769
荣盛石化,|002493
际华集团,|601718
联明股份,|603006
科林环保,|002499
南纺股份,|600250
宏发股份,|600885
钱江生化,|600796
赛摩电气,|300466
新 大 陆,|000997
森远股份,|300210
华天科技,|002185
南岭民爆,|002096
回天新材,|300041
佐力药业,|300181
众兴菌业,|002772
视源股份,|002841
国元证券,|000728
利民股份,|002734
多伦科技,|603528
宏达股份,|600331
三鑫医疗,|300453
天药股份,|600488
京能电力,|600578
三全食品,|002216
金智科技,|002090
顺灏股份,|002565
金圆股份,|000546
奥特佳,|002239
北化股份,|002246
奇正藏药,|002287
海亮股份,|002203
航天信息,|600271
龙宇燃油,|603003
武昌鱼,|600275
梅安森,|300275
阳光照明,|600261
深天马Ａ,|000050
乐凯胶片,|600135
天晟新材,|300169
亚厦股份,|002375
大连热电,|600719
精测电子,|300567
博信股份,|600083
浪莎股份,|600137
中颖电子,|300327
索菲亚,|002572
康达新材,|002669
金达威,|002626
同达创业,|600647
中国建筑,|601668
精华制药,|002349
裕兴股份,|300305
华灿光电,|300323
南京公用,|000421
杉杉股份,|600884
安迪苏,|600299
易事特,|300376
广州发展,|600098
斯莱克,|300382
陆家嘴,|600663
美达股份,|000782
东方国信,|300166
鹏辉能源,|300438
广联达,|002410
光韵达,|300227
太极实业,|600667
中捷资源,|002021
鸿达兴业,|002002
吉林化纤,|000420
海虹控股,|000503
深圳华强,|000062
绿景控股,|000502
浪潮软件,|600756
航天动力,|600343
晋西车轴,|600495
劲拓股份,|300400
西山煤电,|000983
三元股份,|600429
东百集团,|600693
银禧科技,|300221
升华拜克,|600226
江南嘉捷,|601313
吴江银行,|603323
游久游戏,|600652
奥维通信,|002231
新潮能源,|600777
环旭电子,|601231
宁沪高速,|600377
百洋股份,|002696
喜临门,|603008
嘉澳环保,|603822
西部建设,|002302
金卡智能,|300349
*ST煤气,|000968
阳光股份,|000608
航天工程,|603698
招商轮船,|601872
金地集团,|600383
三七互娱,|002555
宁波精达,|603088
云南白药,|000538
渝三峡Ａ,|000565
恒生电子,|600570
扬杰科技,|300373
广汇能源,|600256
江南化工,|002226
新钢股份,|600782
钱江水利,|600283
聚隆科技,|300475
茂硕电源,|002660
浩云科技,|300448
武汉控股,|600168
南京熊猫,|600775
登云股份,|002715
诺 普 信,|002215
冀东水泥,|000401
美都能源,|600175
贝达药业,|300558
理邦仪器,|300206
乐普医疗,|300003
凯乐科技,|600260
柘中股份,|002346
曲美家居,|603818
先河环保,|300137
汇鸿集团,|600981
锦龙股份,|000712
东北电气,|000585
广生堂,|300436
海航投资,|000616
*ST恒立,|000622
乐心医疗,|300562
聚光科技,|300203
中国医药,|600056
天保基建,|000965
江特电机,|002176
荣科科技,|300290
三聚环保,|300072
百大集团,|600865
广博股份,|002103
银轮股份,|002126
*ST东钽,|000962
贵绳股份,|600992
康耐特,|300061
福鞍股份,|603315
集友股份,|603429
长春经开,|600215
湖北广电,|000665
通用股份,|601500
光电股份,|600184
兴业矿业,|000426
特一药业,|002728
冠豪高新,|600433
美亚柏科,|300188
山东威达,|002026
国药一致,|000028
东凌国际,|000893
凯迪生态,|000939
济民制药,|603222
安阳钢铁,|600569
宏润建设,|002062
五洲新春,|603667
ST亚太,|000691
洲际油气,|600759
海航创新,|600555
建新股份,|300107
丰林集团,|601996
开能环保,|300272
亚太药业,|002370
陇神戎发,|300534
方大炭素,|600516
朗姿股份,|002612
昊志机电,|300503
张家界,|000430
百花村,|600721
安凯客车,|000868
复星医药,|600196
双箭股份,|002381
快乐购,|300413
盛屯矿业,|600711
福安药业,|300194
春兰股份,|600854
朗玛信息,|300288
一心堂,|002727
恒逸石化,|000703
日科化学,|300214
富奥股份,|000030
*ST山煤,|600546
金通灵,|300091
兰石重装,|603169
新开普,|300248
濮耐股份,|002225
荣盛发展,|002146
S佳通,|600182
中国化学,|601117
东阿阿胶,|000423
国睿科技,|600562
中航地产,|000043
中百集团,|000759
电光科技,|002730
新城控股,|601155
奥瑞德,|600666
赫美集团,|002356
鹏起科技,|600614
桂林旅游,|000978
通鼎互联,|002491
神开股份,|002278
恒锋工具,|300488
易联众,|300096
厚普股份,|300471
泰山石油,|000554
神州信息,|000555
大金重工,|002487
南方航空,|600029
皖新传媒,|601801
达刚路机,|300103
天科股份,|600378
山东金泰,|600385
中天科技,|600522
久其软件,|002279
三环集团,|300408
中集集团,|000039
新天然气,|603393
中国宝安,|000009
南京高科,|600064
博晖创新,|300318
仙坛股份,|002746
四创电子,|600990
大龙地产,|600159
桂林三金,|002275
中科曙光,|603019
云内动力,|000903
华联股份,|000882
天银机电,|300342
继峰股份,|603997
智飞生物,|300122
海默科技,|300084
鼎捷软件,|300378
口子窖,|603589
印纪传媒,|002143
浙商中拓,|000906
英威腾,|002334
山东药玻,|600529
南方轴承,|002553
吉林森工,|600189
宜昌交运,|002627
网宿科技,|300017
得利斯,|002330
威华股份,|002240
中南文化,|002445
金亚科技,|300028
通策医疗,|600763
宝利国际,|300135
天业通联,|002459
特发信息,|000070
华斯股份,|002494
精锻科技,|300258
北玻股份,|002613
云南旅游,|002059
贵州百灵,|002424
国农科技,|000004
华光股份,|600475
包钢股份,|600010
双龙股份,|300108
延长化建,|600248
赞宇科技,|002637
洪城水业,|600461
红旗连锁,|002697
东软载波,|300183
贵阳银行,|601997
硅宝科技,|300019
中山公用,|000685
*ST创疗,|002173
聚飞光电,|300303
华丽家族,|600503
华铁科技,|603300
江西铜业,|600362
新华文轩,|601811
嘉凯城,|000918
阳普医疗,|300030
立讯精密,|002475
北巴传媒,|600386
*ST烯碳,|000511
合康新能,|300048
高争民爆,|002827
晓程科技,|300139
台基股份,|300046
比亚迪,|002594
拓维信息,|002261
金陵药业,|000919
浩丰科技,|300419
中珠医疗,|600568
绵石投资,|000609
环能科技,|300425
华润三九,|000999
信邦制药,|002390
东港股份,|002117
大庆华科,|000985
华懋科技,|603306
火炬电子,|603678
和邦生物,|603077
创维数字,|000810
中国中期,|000996
万东医疗,|600055
宁波东力,|002164
圣阳股份,|002580
长城电工,|600192
滨化股份,|601678
卫 士 通,|002268
安源煤业,|600397
恒泰艾普,|300157
安控科技,|300370
*ST神火,|000933
宁波华翔,|002048
山东章鼓,|002598
方大特钢,|600507
正虹科技,|000702
艾华集团,|603989
广弘控股,|000529
秀强股份,|300160
河钢股份,|000709
天沃科技,|002564
科泰电源,|300153
梅花生物,|600873
柳化股份,|600423
出版传媒,|601999
上海机场,|600009
微光股份,|002801
鞍重股份,|002667
中光防雷,|300414
哈森股份,|603958
黑牡丹,|600510
重庆百货,|600729
温州宏丰,|300283
潍柴动力,|000338
无锡银行,|600908
跨境通,|002640
希努尔,|002485
江苏国泰,|002091
富临运业,|002357
联创互联,|300343
精功科技,|002006
初灵信息,|300250
五 粮 液,|000858
梅泰诺,|300038
香溢融通,|600830
通宝能源,|600780
亨通光电,|600487
通合科技,|300491
新北洋,|002376
*ST獐岛,|002069
广信材料,|300537
GQY视讯,|300076
东方电热,|300217
烽火电子,|000561
电广传媒,|000917
苏 泊 尔,|002032
燕塘乳业,|002732
龙大肉食,|002726
沱牌舍得,|600702
格林美,|002340
太阳能,|000591
华意压缩,|000404
安硕信息,|300380
贤丰控股,|002141
美尔雅,|600107
海螺型材,|000619
高盟新材,|300200
台海核电,|002366
双鹭药业,|002038
凯中精密,|002823
乾照光电,|300102
大豪科技,|603025
上柴股份,|600841
麦迪电气,|300341
常宝股份,|002478
高斯贝尔,|002848
名家汇,|300506
飞利信,|300287
西水股份,|600291
龙力生物,|002604
新世界,|600628
士兰微,|600460
中储股份,|600787
国风塑业,|000859
动力源,|600405
重庆啤酒,|600132
云天化,|600096
宏达新材,|002211
思美传媒,|002712
长春高新,|000661
万林股份,|603117
广东明珠,|600382
武汉凡谷,|002194
海正药业,|600267
仁和药业,|000650
同济堂,|600090
金轮股份,|002722
长盈精密,|300115
广东鸿图,|002101
嘉寓股份,|300117
乐山电力,|600644
昊华能源,|601101
金刚玻璃,|300093
轻纺城,|600790
太平洋,|601099
贵研铂业,|600459
安科瑞,|300286
拉芳家化,|603630
三星医疗,|601567
凯莱英,|002821
丰华股份,|600615
华友钴业,|603799
煌上煌,|002695
华菱钢铁,|000932
天喻信息,|300205
广汽集团,|601238
青松股份,|300132
海伦钢琴,|300329
世嘉科技,|002796
中远海能,|600026
西安旅游,|000610
银之杰,|300085
创兴资源,|600193
仰帆控股,|600421
新国都,|300130
北方稀土,|600111
春秋航空,|601021
国投电力,|600886
银龙股份,|603969
高新兴,|300098
鲍斯股份,|300441
*ST钒钛,|000629
文投控股,|600715
四方股份,|601126
罗平锌电,|002114
贵州茅台,|600519
红阳能源,|600758
丰乐种业,|000713
佛山照明,|000541
飞力达,|300240
长航凤凰,|000520
海汽集团,|603069
梅雁吉祥,|600868
沃尔核材,|002130
鞍钢股份,|000898
中粮地产,|000031
高科石化,|002778
同有科技,|300302
兔 宝 宝,|002043
龙源技术,|300105
厦门钨业,|600549
中粮糖业,|600737
天宝股份,|002220
西藏药业,|600211
丰东股份,|002530
美克家居,|600337
华虹计通,|300330
明家联合,|300242
航天科技,|000901
柯利达,|603828
齐心集团,|002301
吉电股份,|000875
宝馨科技,|002514
通葡股份,|600365
华谊集团,|600623
中国国贸,|600007
德尔股份,|300473
和晶科技,|300279
中超控股,|002471
苏常柴Ａ,|000570
达 意 隆,|002209
方大集团,|000055
国中水务,|600187
山西汾酒,|600809
万 科Ａ,|000002
永清环保,|300187
石化机械,|000852
正邦科技,|002157
恒丰纸业,|600356
*ST皇台,|000995
金石东方,|300434
中钢天源,|002057
歌华有线,|600037
福星股份,|000926
朗源股份,|300175
盛通股份,|002599
泰和新材,|002254
韩建河山,|603616
南威软件,|603636
中基健康,|000972
百隆东方,|601339
万向德农,|600371
银邦股份,|300337
大智慧,|601519
福田汽车,|600166
山东海化,|000822
*ST南化,|600301
尤洛卡,|300099
马钢股份,|600808
同大股份,|300321
光明乳业,|600597
华中数控,|300161
京天利,|300399
冀中能源,|000937
中粮生化,|000930
南京新百,|600682
曙光股份,|600303
锡业股份,|000960
佳士科技,|300193
新澳股份,|603889
智慧农业,|000816
奥普光电,|002338
格力电器,|000651
雅克科技,|002409
长江投资,|600119
史丹利,|002588
鸿博股份,|002229
珠江啤酒,|002461
远 望 谷,|002161
交大昂立,|600530
中衡设计,|603017
益生股份,|002458
华联综超,|600361
隆华节能,|300263
坚瑞沃能,|300116
云南铜业,|000878
云铝股份,|000807
金正大,|002470
超声电子,|000823
赛象科技,|002337
金 融 街,|000402
宏达高科,|002144
金证股份,|600446
泸州老窖,|000568
长方集团,|300301
天桥起重,|002523
广州浪奇,|000523
北京城乡,|600861
能科股份,|603859
青龙管业,|002457
山西焦化,|600740
福晶科技,|002222
红 宝 丽,|002165
中航重机,|600765
上海莱士,|002252
华铭智能,|300462
焦点科技,|002315
金禾实业,|002597
金钼股份,|601958
读者传媒,|603999
国光电器,|002045
永太科技,|002326
湘潭电化,|002125
外高桥,|600648
海立股份,|600619
先锋电子,|002767
沈阳化工,|000698
长城影视,|002071
常熟银行,|601128
模塑科技,|000700
洽洽食品,|002557
盛达矿业,|000603
易尚展示,|002751
东音股份,|002793
华宏科技,|002645
众业达,|002441
文化长城,|300089
怡球资源,|601388
南天信息,|000948
迪森股份,|300335
荣丰控股,|000668
嘉欣丝绸,|002404
大连友谊,|000679
红墙股份,|002809
康强电子,|002119
瑞和股份,|002620
三钢闽光,|002110
华域汽车,|600741
开山股份,|300257
华平股份,|300074
国瓷材料,|300285
中恒集团,|600252
川润股份,|002272
双汇发展,|000895
尔康制药,|300267
华西股份,|000936
刚泰控股,|600687
金隅股份,|601992
信雅达,|600571
围海股份,|002586
博汇纸业,|600966
湖北能源,|000883
步 步 高,|002251
五矿发展,|600058
神马股份,|600810
昇兴股份,|002752
章源钨业,|002378
二六三,|002467
永贵电器,|300351
中国中冶,|601618
凤凰传媒,|601928
山鼎设计,|300492
晋亿实业,|601002
广泽股份,|600882
友好集团,|600778
物产中大,|600704
健盛集团,|603558
广聚能源,|000096
国新能源,|600617
云煤能源,|600792
茂业通信,|000889
再升科技,|603601
力生制药,|002393
青岛海尔,|600690
中闽能源,|600163
北大荒,|600598
冀凯股份,|002691
三房巷,|600370
皖江物流,|600575
宁波海运,|600798
润和软件,|300339
银河生物,|000806
奥 特 迅,|002227
黔轮胎Ａ,|000589
维科精华,|600152
爱普股份,|603020
长江润发,|002435
中国动力,|600482
鱼跃医疗,|002223
罗莱生活,|002293
温氏股份,|300498
阳泉煤业,|600348
维维股份,|600300
千红制药,|002550
驰宏锌锗,|600497
中威电子,|300270
和佳股份,|300273
苏宁环球,|000718
湘邮科技,|600476
东南网架,|002135
海油工程,|600583
铜峰电子,|600237
达华智能,|002512
东方财富,|300059
德联集团,|002666
重庆水务,|601158
小商品城,|600415
中国天楹,|000035
太龙药业,|600222
涪陵电力,|600452
联环药业,|600513
长荣股份,|300195
中南建设,|000961
博雅生物,|300294
海峡股份,|002320
四环生物,|000518
成飞集成,|002190
杭钢股份,|600126
鹿港文化,|601599
青岛双星,|000599
迦南科技,|300412
大名城,|600094
特 力Ａ,|000025
双塔食品,|002481
节能风电,|601016
梦洁股份,|002397
长高集团,|002452
尤夫股份,|002427
力帆股份,|601777
中国太保,|601601
万华化学,|600309
同济科技,|600846
威 尔 泰,|002058
贵糖股份,|000833
步森股份,|002569
星辉娱乐,|300043
好利来,|002729
东晶电子,|002199
长电科技,|600584
首商股份,|600723
申科股份,|002633
拓日新能,|002218
澳洋科技,|002172
翠微股份,|603123
科士达,|002518
振东制药,|300158
中国中车,|601766
中科新材,|002290
中国汽研,|601965
中能电气,|300062
海德股份,|000567
中国巨石,|600176
均胜电子,|600699
科迪乳业,|002770
北矿科技,|600980
金贵银业,|002716
华闻传媒,|000793
飞天诚信,|300386
汤臣倍健,|300146
渤海轮渡,|603167
*ST合金,|000633
亿通科技,|300211
新天科技,|300259
华映科技,|000536
海格通信,|002465
星星科技,|300256
分众传媒,|002027
菲达环保,|600526
北新建材,|000786
远光软件,|002063
金城医药,|300233
烽火通信,|600498
科新机电,|300092
国机汽车,|600335
中京电子,|002579
恒瑞医药,|600276
瀚蓝环境,|600323
汇中股份,|300371
惠泉啤酒,|600573
唐人神,|002567
厦门信达,|000701
安利股份,|300218
东方创业,|600278
光迅科技,|002281
证通电子,|002197
同花顺,|300033
*ST金源,|000408
洋河股份,|002304
真视通,|002771
道氏技术,|300409
盐湖股份,|000792
顾地科技,|002694
三诺生物,|300298
富祥股份,|300497
启迪古汉,|000590
安科生物,|300009
海螺水泥,|600585
鄂武商Ａ,|000501
长亮科技,|300348
汇嘉时代,|603101
天际股份,|002759
唐德影视,|300426
金运激光,|300220
智云股份,|300097
海康威视,|002415
吉祥航空,|603885
高能环境,|603588
中通国脉,|603559
贵人鸟,|603555
新华龙,|603399
邦宝益智,|603398
今世缘,|603369
安井食品,|603345
超讯通信,|603322
金海环境,|603311
松发股份,|603268
上海沪工,|603131
康尼机电,|603111
润达医疗,|603108
天成自控,|603085
万盛股份,|603010
光大银行,|601818
宁波建工,|601789
上海电气,|601727
郑煤机,|601717
风范股份,|601700
华泰证券,|601688
北辰实业,|601588
华锐风电,|601558
吉林高速,|601518
工商银行,|601398
交通银行,|601328
农业银行,|601288
庞大集团,|601258
君正集团,|601216
西部矿业,|601168
华鼎股份,|601113
重庆钢铁,|601005
广安爱众,|600979
宜华生活,|600978
新五丰,|600975
中房股份,|600890
石化油服,|600871
智慧能源,|600869
通化东宝,|600867
王府井,|600859
航天长峰,|600855
申通地铁,|600834
人民同泰,|600829
兰生股份,|600826
华北制药,|600812
天业股份,|600807
大连控股,|600747
新华锦,|600735
S*ST前锋,|600733
ST云维,|600725
匹凸匹,|600696
百川能源,|600681
中华企业,|600675
东阳光科,|600673
天目药业,|600671
信达地产,|600657
豫园商城,|600655
中安消,|600654
城投控股,|600649
中源协和,|600645
三爱富,|600636
大众公用,|600635
申达股份,|600626
金杯汽车,|600609
云赛智联,|600602
新安股份,|600596
泰豪科技,|600590
金晶科技,|600586
江西长运,|600561
金自天正,|600560
老白干酒,|600559
ST慧球,|600556
时代出版,|600551
栖霞建设,|600533
腾达建设,|600512
中化国际,|600500
凤竹纺织,|600493
鹏欣资源,|600490
信威集团,|600485
双良节能,|600481
风神股份,|600469
蓝光发展,|600466
九有股份,|600462
国电南瑞,|600406
红豆股份,|600400
海越股份,|600387
华菱星马,|600375
国旅联合,|600358
桂东电力,|600310
标准股份,|600302
亿阳信通,|600289
中央商场,|600280
亿利洁能,|600277
ST景谷,|600265
大湖股份,|600257
鑫科材料,|600255
万通地产,|600246
云南城投,|600239
凌钢股份,|600231
城市传媒,|600229
*ST昌九,|600228
*ST松江,|600225
罗顿发展,|600209
卧龙地产,|600173
永泰能源,|600157
宝硕股份,|600155
航天机电,|600151
商赢环球,|600146
*ST新亿,|600145
金发科技,|600143
当代明诚,|600136
弘业股份,|600128
亚盛集团,|600108
葛洲坝,|600068
浙能电力,|600023
山东钢铁,|600022
宝钢股份,|600019
华能国际,|600011
朗科智能,|300543
达威股份,|300535
中潜股份,|300526
盛讯达,|300518
金冠电气,|300510
华自科技,|300490
东杰智能,|300486
神思电子,|300479
杭州高新,|300478
新元科技,|300472
信息发展,|300469
迅游科技,|300467
高伟达,|300465
惠伦晶体,|300460
运达科技,|300440
四通新材,|300428
鲁亿通,|300423
科隆精化,|300405
腾信股份,|300392
三联虹普,|300384
东方网力,|300367
中文在线,|300364
硕贝德,|300322
海达股份,|300320
麦捷科技,|300319
掌趣科技,|300315
吉艾科技,|300309
华宇软件,|300271
万福生科,|300268
兴源环境,|300266
佳创视讯,|300264
乐金健康,|300247
方直科技,|300235
洲明科技,|300232
上海钢联,|300226
北京君正,|300223
易华录,|300212
天泽信息,|300209
海伦哲,|300201
科斯伍德,|300192
通裕重工,|300185
天瑞仪器,|300165
科融环境,|300152
量子高科,|300149
天舟文化,|300148
大富科技,|300134
经纬电材,|300120
瑞普生物,|300119
东方日升,|300118
新开源,|300109
长信科技,|300088
国民技术,|300077
南都电源,|300068
海兰信,|300065
万顺股份,|300057
三五互联,|300051
世纪鼎利,|300050
华星创业,|300025
北陆药业,|300016
张家港行,|002839
和科达,|002816
路畅科技,|002813
创新股份,|002812
吉宏股份,|002803
华源控股,|002787
埃斯顿,|002747
木林森,|002745
光华科技,|002741
爱迪尔,|002740
王子新材,|002735
海洋王,|002724
岭南园林,|002717
美盛文化,|002699
华东重机,|002685
奋达科技,|002681
东诚药业,|002675
国盛金控,|002670
信质电机,|002664
共达电声,|002655
扬子新材,|002652
勤上股份,|002638
华西能源,|002630
亚玛顿,|002623
*ST舜船,|002608
大连电瓷,|002606
江粉磁材,|002600
海南瑞泽,|002596
闽发铝业,|002578
通达动力,|002576
群兴玩具,|002575
春兴精工,|002547
鸿路钢构,|002541
亚太科技,|002540
*ST蓝丰,|002513
天汽模,|002510
天广中茂,|002509
大康农业,|002505
恒基达鑫,|002492
嘉麟杰,|002486
新筑股份,|002480
申通快递,|002468
金利科技,|002464
金洲管道,|002443
誉衡药业,|002437
胜利精密,|002426
康盛股份,|002418
三元达,|002417
必康股份,|002411
省广股份,|002400
天原集团,|002386
*ST鲁丰,|002379
伟星新材,|002372
隆基机械,|002363
*ST人乐,|002336
皇氏集团,|002329
键桥通讯,|002316
中利集团,|002309
圣农发展,|002299
天润曲轴,|002283
博深工具,|002282
联络互动,|002280
万马股份,|002276
华明装备,|002270
美邦服饰,|002269
德奥通航,|002260
海陆重工,|002255
华东数控,|002248
澳洋顺昌,|002245
通产丽星,|002243
合兴包装,|002228
南洋股份,|002212
二三四五,|002195
山东如意,|002193
全 聚 德,|002186
延华智能,|002178
东方网络,|002175
深圳惠程,|002168
悦心健康,|002162
天津普林,|002134
恒星科技,|002132
中环股份,|002129
露天煤业,|002128
科陆电子,|002121
三维通信,|002115
天润数娱,|002113
恒宝股份,|002104
冠福股份,|002102
栋梁新材,|002082
雪 莱 特,|002076
沙钢股份,|002075
凯瑞德,|002072
黑猫股份,|002068
江山化工,|002061
得润电子,|002055
三花智控,|002050
紫光国芯,|002049
航天电器,|002025
凯恩股份,|002012
豫能控股,|001896
中银绒业,|000982
银亿股份,|000981
中弘股份,|000979
安泰科技,|000969
*ST河化,|000953
新乡化纤,|000949
紫光股份,|000938
四川双马,|000935
*ST佳电,|000922
南方汇通,|000920
华北高速,|000916
*ST钱江,|000913
泸天化,|000912
银星能源,|000862
鲁西化工,|000830
天音控股,|000829
京山轻机,|000821
*ST金宇,|000803
本钢板材,|000761
山西三维,|000755
振华科技,|000733
美锦能源,|000723
新能泰山,|000720
黑芝麻,|000716
大冶特钢,|000708
炼石有色,|000697
ST华泽,|000693
东北证券,|000686
东方电子,|000682
当代东方,|000673
阳 光 城,|000671
铜陵有色,|000630
大东海A,|000613
焦作万方,|000612
*ST天首,|000611
东北制药,|000597
宝塔实业,|000595
友利控股,|000584
新大洲Ａ,|000571
莱茵体育,|000558
紫光学大,|000526
岭南控股,|000524
国际医学,|000516
粤高速Ａ,|000429
东方市场,|000301
中联重科,|000157
丰原药业,|000153
中洲控股,|000042
神州数码,|000034
深桑达Ａ,|000032
深深房Ａ,|000029
美丽生态,|000010
全新好,|000007
普丽盛,|300442
柳州医药,|603368
中国平安,|601318
我武生物,|300357
迪瑞医疗,|300396
网达软件,|603189
健民集团,|600976
汇金通,|603577
新力金融,|600318
当升科技,|300073
富临精工,|300432
胜宏科技,|300476
经纬纺机,|000666
和顺电气,|300141
桃李面包,|603866
汇通能源,|600605
万和电气,|002543
富控互动,|600634
江苏神通,|002438
人福医药,|600079
大晟文化,|600892
博腾股份,|300363
海得控制,|002184
用友网络,|600588
宝信软件,|600845
全通教育,|300359
百联股份,|600827
汇洁股份,|002763
中国卫星,|600118
深深宝Ａ,|000019
众信旅游,|002707
南宁糖业,|000911
时代新材,|600458
空港股份,|600463
永兴特钢,|002756
